No,カテゴリ,ファイル名,形式,ファイルサイズ,作成日,概要,エラられる情報,重要度,活用フェーズ,備考
1,イカリ提供,㊙01.業務分掌一覧.pdf,PDF,389KB,2025-11-11,"全26部門以上の業務分掌を記載した組織・役割定義書。経営層6名、執行役員6名、各部門の業務内容と責任範囲を明記","・組織構造（経営層、執行役員、26部門）
・各部門の業務分掌内容
・委員会組織（リスクマネジメント、コンプライアンス等）
・責任者と担当領域
・部門間の関係性",高,現状分析,03_業務分掌組織図.svgに図化済み
2,イカリ提供,㊙会社組織図（205.4.1）.pdf,PDF,402KB,2025-11-11,"2025年4月1日時点の会社組織図。階層構造と部門配置を図示","・組織階層構造
・部門配置
・報告ラインと指揮系統
・経営層の役割分担",中,現状分析,業務分掌一覧と合わせて組織全体像を把握
3,イカリ提供,㊙IKR_DX構想_現行システム構成.pptx,PowerPoint,767KB,2025-11-11,"DX構想策定時の現行システム構成図（2スライド）。総合経営管理システムを中心に15以上のシステム・ツールを図示","・15以上のシステム一覧（総合経営管理、検査、Kintone等）
・システム間連携状況
・非システム領域（手作業業務）
・データフロー
・現行システムの課題
・DX化の方向性",高,現状分析,04_現行システム構成図.svgに図化済み
4,イカリ提供,㊙情報システム導入ツール 2025_09_01時点.pptx,PowerPoint,253KB,2025-09-01,"2025年9月1日時点の情報システム運用構成図（1スライド）。データセンター、クラウド、拠点の3階層で50以上のシステム・ツールを網羅","・データセンター基盤（基幹、情報基盤、検査、セキュリティ）
・50以上のクラウドサービス（Office365、AWS、Kintone、SaaS）
・全国拠点のネットワーク構成
・セキュリティ対策（PKI、MDM、WAF等）
・データ連携ツール（DataSpider、WebFocus）
・各システムの管理部門",最高,現状分析・To-Be設計,05_情報システム導入ツール構成図.svgに図化済み。最新・最詳細のシステム全体像
5,イカリ提供,㊙★中期経営計画 実行計画_PJ＆部門ミッション_抜粋.pptx,PowerPoint,706KB,2025-11-12,"中期経営計画（2025→2030年）の戦術と実行計画抜粋（2スライド）。7つの重点戦術とゴールを提示","・現状課題（2025年）：売上重視、業務属人化、システム複雑さ等
・7つの戦術：①高利益率推進、②ガイドライン再構築、③DX化、④オリジナル商品開発、⑤AI導入、⑥消費者市場拡大、⑦人材定着育成
・ゴール（2030年）：全体最適化、AI活用、競争優位商品開発
・重点PJ：社内情報システム整備、トラップ同定AI、スマート防虫AI",最高,方向性策定・ロードマップ作成,経営戦略とDX施策の直接的な結びつきを示す最重要資料
6,イカリ提供,社内インタビュー現場の声2022年に各部門長.docx,Word,23KB,2022年,"2022年に実施した部門長・課長クラスへの社内インタビュー結果。8つの課題カテゴリに分類","・データ二重入力・転記の課題
・情報分析の業務負荷
・業務プロセスの硬直化（20年前から変わらず）
・人材スキル不足・能力開発ニーズ
・組織連携不足（部門間お見合い）
・営業・サービス品質の標準化不足
・業務の属人化（担当者依存）
・情報共有の仕組み不足（FAQ、チャットボット要望）",高,課題抽出・As-Is分析,3年前の資料だが、現在も継続する構造的課題を把握可能
7,イカリ提供,POC支援業務提案書.pdf,PDF,2.4MB,2025-11-03,株式会社ミオシステムからイカリ消毒様へのPoCコンサルティング提案書,"・プロジェクト概要とスコープ
・実施体制と期間
・成果物定義
・提案金額と条件
・ミオシステムの実績",中,プロジェクト管理,本プロジェクトの契約ベース
8,イカリ提供,見積書（今永電機）25.11.2.pdf,PDF,319KB,2025-11-02,今永電機からの見積書（詳細不明）,"・見積内容（金額、項目）
・発注先情報",低,参考,DXコンサルとの直接関連性は低い可能性
9,プロジェクト計画,必要ドキュメント一覧.md,Markdown,-,2025-11-11,"DXコンサルティングプロジェクトで作成すべき全成果物リスト（30以上のドキュメント）","・成果物体系（プロジェクト計画、現状分析、提案、実行支援）
・各ドキュメントの目的・形式・ページ数
・優先度と作成タイミング
・チェックリスト",高,全フェーズ,プロジェクト全体の成果物要件定義
10,プロジェクト計画,AGENTS.md,Markdown,-,2025-11-11,"リポジトリのガイドライン。AIエージェント（Codex、Gemini）の役割分担とファイル命名規則","・Codexエージェントの役割（技術分析）
・Geminiエージェントの役割（戦略提案）
・ファイル命名規則
・ディレクトリ構造
・成果物管理方法",中,プロジェクト管理,開発チーム向けガイドライン
11,プロジェクト計画,平野_実施Todo一覧.md,Markdown,-,2025-11-11,"平野担当のタスク一覧とスケジュール（11月〜1月）","・週次タスク分解
・マイルストーン（中間報告12/末、最終報告1/末）
・優先度付きタスクリスト
・進捗管理用チェックリスト",中,プロジェクト管理,プロジェクトマネージャー向けタスク管理
12,分析結果,Codex_ドキュメント詳細解析.md,Markdown,-,2025-11-11,"Codexエージェントによる提供資料の詳細分析結果","・各ドキュメントの構造分析
・技術的課題の抽出
・システム構成の詳細解析
・データフロー分析",中,現状分析,技術視点での分析結果
13,分析結果,Gemini_ドキュメント詳細解析結果.md,Markdown,-,2025-11-11,"Geminiエージェントによる提供資料の詳細分析と課題仮説","・経営課題の抽出
・業務課題の分類（8カテゴリ）
・DX推進の方向性仮説
・優先施策の提案",高,課題抽出・方向性策定,戦略視点での分析結果と仮説
14,分析結果,Codex_Todo成果物マッピング.md,Markdown,-,2025-11-11,タスクと成果物のマッピング表,"・タスクと成果物の対応関係
・作成順序の最適化提案
・依存関係の明示",中,プロジェクト管理,成果物作成の効率化ガイド
15,ヒアリング設計,Gemini_ヒアリング質問票テンプレート案.md,Markdown,-,2025-11-11,"部門別ヒアリング質問票テンプレート（6部門×30問以上）","・経営層向け質問（戦略、投資、KPI）
・営業部門向け質問（商談、顧客管理、営業支援）
・技術部門向け質問（検査、品質、技術連携）
・情報システムG向け質問（システム、セキュリティ、運用）
・管理部門向け質問（人事、経理、総務）
・現場向け質問（業務負荷、課題、改善要望）",高,ヒアリング実施,ヒアリング実施時の必須ツール
16,指標設計,DX指標設計フレームワーク.md,Markdown,約50ページ相当,2025-11-11,"DX推進成果を測定する5階層指標体系とKPI設計フレームワーク","・5階層指標ピラミッド（IT基盤→デジタル活用→業務プロセス→業務成果→経営指標）
・部門別KPIマトリクス（営業、技術、情報システム、管理）
・優先度別測定計画（フェーズ1〜4）
・ダッシュボード設計（経営層、部門長、現場）
・指標運用プロセス（PDCA、レビュー会議体）
・業界ベンチマーク",最高,KPI設計・中間報告・最終報告,DXロードマップのKPI設計に必須
17,測定計画,ベースライン測定実施計画.md,Markdown,約40ページ相当,2025-11-11,"現状値測定の3週間実施計画（63項目）","・測定項目63件（業務効率25、システム利用15、データ管理10、組織8、顧客5）
・測定ツール（Excel、Googleフォーム、調査シート）
・3週間スケジュール（準備→収集→集計）
・実施体制とRACI
・成功のポイント（サンプリング、記録方法）",最高,ベースライン測定,根拠あるROI試算の前提条件。実施必須
18,投資計画,DX投資ROI試算フレームワーク.md,Markdown,約35ページ相当,2025-11-11（大幅修正版）,"DX投資のROI試算方法論とテンプレート（具体的数値は仮置き）","・ROI計算式と方法論
・コスト構造（初期投資、運用コスト）
・効果分類（直接削減、間接削減、増収、リスク削減）
・5つの主要施策別テンプレート（クラウドERP、RPA、BI、CRM、ペーパーレス）
・ROI試算の正しいステップ（ベースライン測定→効果試算→見積取得→ROI計算）
・⚠️免責事項：記載数値は参考例のみ",高,投資計画・最終報告,ベースライン測定完了後に使用。数値は仮置きのため要注意
19,指標管理,DX指標関連ドキュメント一覧.md,Markdown,-,2025-11-11,"指標3点セット（指標設計、ベースライン測定、ROI試算）のインデックスと活用ガイド","・3ドキュメントの関係性とPDCAサイクル
・既存ドキュメントとの統合イメージ
・活用タイミング（フェーズ別）
・整合性チェックリスト
・次のアクションステップ",中,全フェーズ,指標関連ドキュメントのナビゲーション
20,会話履歴,conversation_summary_20251117.md,Markdown,-,2025-11-17,"AIとの会話履歴の詳細サマリー（6フェーズ）","・会話の全フェーズ（ドキュメントレビュー、3点セット作成、ROI修正、PDF/PPTX解析）
・主要な学習成果（エビデンスベースの原則）
・作成した成果物一覧
・技術的知見（PowerPoint解析、SVG作成）
・未完了タスク",中,プロジェクト管理,プロジェクト経緯の記録
21,成果物,イカリ消毒DXコンサル_統合分析レポート.md,Markdown,大規模,2025-11-11,"現状分析から提案までを統合した包括レポート","・現状分析（業務、組織、システム、課題）
・To-Be構想
・DXロードマップ（5ヵ年）
・主要DXテーマ別施策案
・投資計画とROI試算（⚠️修正版：方法論のみ）
・実行体制・リスク管理",最高,中間報告・最終報告,最終成果物のベース。ROI数値は修正済み
22,成果物,イカリ消毒DXコンサル_統合分析レポート_エビデンス版.md,Markdown,大規模,2025-11-11,統合分析レポートのエビデンス強化版（出典明記）,"・統合分析レポートと同内容
・すべての記述に出典を明記
・エビデンスベース重視",高,最終報告,エビデンス重視の最終報告用
23,成果物,01_業界動向・競合分析レポート.md,Markdown,-,作成済,"環境衛生業界の動向と競合分析","・業界トレンド
・競合他社の状況
・市場機会と脅威
・イカリ消毒のポジショニング",中,現状分析,外部環境分析
24,成果物,02_DX成功事例集.md,Markdown,-,作成済,"環境衛生・類似業界のDX成功事例集","・業界別DX事例
・施策内容と効果
・成功要因と失敗要因
・イカリ消毒への示唆",中,方向性策定,ベンチマーク資料
25,成果物,03_技術要件定義書.md,Markdown,-,作成済,DX施策の技術要件定義,"・システム要件
・技術スタック
・セキュリティ要件
・インフラ要件
・データ要件",中,詳細設計,実装フェーズの技術仕様
26,成果物,Word/プロジェクト提案書.md,Markdown,-,作成済,プロジェクト提案書（Word形式想定）,"・提案背景と目的
・実施内容とスコープ
・スケジュールと体制
・成果物と期待効果
・投資対効果",中,プロジェクト開始前,提案書のドラフト
27,成果物（SVG）,01_組織構造図.svg,SVG,1400x1600px,作成済,"組織構造図（経営層、執行役員、主要部門）","・経営トップ（代表取締役、取締役）
・執行役員6名の担当領域
・主要部門の配置
・色分け：経営層（濃青）、営業（明青）、技術（ブルーグリーン）、情報システム（オレンジ）",中,現状分析・報告資料,推奨配色適用済み
28,成果物（SVG）,02_システム構成図.svg,SVG,1400x1200px,作成済,システム構成図（総合経営管理システムと部門別システム）,"・中核：総合経営管理システム
・部門別システム（イカリナビ、CX、検査系）
・クラウドサービス連携
・セキュリティ基盤
・色分け：基幹（濃青）、部門（明青）、クラウド（ブルーグリーン）",中,現状分析・報告資料,推奨配色適用済み
29,成果物（SVG）,03_業務分掌組織図.svg,SVG,2400x3200px,2025-11-17,"業務分掌詳細組織図（26部門+委員会）","・経営層・役員
・執行役員6名の詳細担当（地域、首都圏、営業推進、情報・開発、技術、管理）
・26部門の業務内容
・4委員会（リスクマネジメント、コンプライアンス等）
・色分け：経営層（濃青）、主要部門（明青）、サブ部門（薄青）、グループ（最薄青）、管理（グレー）、委員会（オレンジ）",高,現状分析・報告資料,㊙01.業務分掌一覧.pdfから作成。推奨配色適用済み
30,成果物（SVG）,04_現行システム構成図.svg,SVG,1800x2400px,2025-11-17,現行システム構成図（DX構想資料ベース）,"・総合経営管理システム（スーパーカクテル）
・15以上のシステム・業務領域
・Kintoneプラットフォーム
・非システム領域（課題箇所）
・データフロー
・色分け：基幹（濃青）、業務（明青）、補助（薄青）、外部（グレー）、検査（ブルーグリーン）、Kintone（明青）、非システム（オレンジ）",高,現状分析・報告資料,㊙IKR_DX構想_現行システム構成.pptxから作成。推奨配色適用済み
31,成果物（SVG）,05_情報システム導入ツール構成図.svg,SVG,2400x3200px,2025-11-17,"最新・最詳細の情報システム構成図（2025年9月1日時点）","・データセンター領域（基幹、情報基盤、検査、セキュリティ、ネットワーク、バックアップ、データ連携）
・クラウドサービス領域（Office365、Kintone、AWS、Box、50以上のSaaS）
・拠点領域（主要拠点5箇所、地域営業所9箇所、拠点共通システム、ネットワーク接続）
・システム構成の特徴解説（ハイブリッド、セキュリティ多層防御、SaaS活用、データ連携、DX推進方向性）
・色分け：基幹（濃青）、データセンター（明青）、クラウド（ブルーグリーン）、SaaS（薄青）、セキュリティ（グレー）、拠点（オレンジ）",最高,現状分析・To-Be設計・報告資料,㊙情報システム導入ツール 2025_09_01時点.pptxから作成。最新・最詳細。推奨配色適用済み
32,成果物（SVG）,配色ガイド.md,Markdown,-,2025-11-17,SVG図表の配色ガイドライン,"・PowerPoint推奨配色パターン適用
・70:25:5の法則
・青系モノトーン基調
・カラーコード一覧（濃青#1A43AA、明青#15A2E9等）
・各SVGの配色設計意図
・今後の推奨事項",中,成果物作成,SVG作成・修正時の参照資料
33,ツール開発,codex-dx-support-tool/README.md,Markdown,-,作成済,Codex DX支援ツールのREADME,"・ツール概要
・機能説明
・使用方法
・技術スタック",低,開発補助,開発支援ツールのドキュメント
34,ツール開発,dx-console-tool/README.md,Markdown,-,作成済,DXコンソールツールのREADME,"・ツール概要
・機能説明
・使用方法
・技術スタック",低,開発補助,開発支援ツールのドキュメント
35,ツール開発,Gemini_DX_Support_Tool/README.md,Markdown,-,作成済,Gemini DX支援ツールのREADME,"・ツール概要
・機能説明
・使用方法
・技術スタック",低,開発補助,開発支援ツールのドキュメント
