イカリ消毒株式会社 DXロードマップ（2026〜2030年）
""
フェーズ,年度,テーマ,主要施策,想定KPI例,参考投資規模,備考
1,2026年度,基盤整備期,データ統合基盤構築、業務プロセス可視化,データ統合基盤構築完了、業務フロー可視化実施、全社員研修受講,中小企業IT投資の目安: 売上の1%程度,※貴社の実情に合わせてヒアリング後に精緻化
,,,①総合経営管理システムの機能拡張・データ連携強化,,,
,,,②各部門システムとのAPI連携整備,,,
,,,③業務フローの可視化・標準化（全部門）,,,
,,,④DX推進組織の設置,,,
,,,⑤経営ダッシュボードの設計・構築開始,,,
,,,⑥全社員向けデジタルリテラシー研修開始,,,
""
2,2027年度,デジタル化推進期,業務プロセスのデジタル化、RPA導入,ペーパーレス化推進、モバイル化推進、RPA化実施,業界平均: 売上の1.15%（JUAS調査）,※貴社の実情に合わせてヒアリング後に精緻化
,,,①電子稟議・承認システムの全社展開,,,
,,,②現場作業報告のモバイル化,,,
,,,③検査依頼〜報告プロセスの完全デジタル化,,,
,,,④RPA導入（対象業務の選定と導入）,,,
,,,⑤経営ダッシュボードの本格運用開始,,,
,,,⑥ビジネスチャット導入,,,
""
3,2028年度,AI・分析活用期,AI/データ分析の本格活用、顧客接点デジタル化,AI活用開始、顧客ポータル構築、CRM導入,デロイト調査: 多くの企業が収益の約7.5%をDXに投資,※貴社の実情に合わせてヒアリング後に精緻化
,,,①検査データのAI分析導入（異常検知、予測）,,,
,,,②営業データ分析による需要予測・提案最適化,,,
,,,③画像認識AIによる異物検査の自動化試行,,,
,,,④顧客ポータルサイト構築,,,
,,,⑤CRMシステム導入・強化,,,
,,,⑥チャットボット導入（社内問い合わせ対応）,,,
""
4,2029年度,最適化・高度化期,データドリブン経営の深化、働き方改革推進,DWH構築、ハイブリッドワーク推進、MA導入,投資回収期間の目安: 2〜3年程度（一般的傾向）,※貴社の実情に合わせてヒアリング後に精緻化
,,,①全社データウェアハウス/データレイク構築,,,
,,,②高度なBI/BA環境整備,,,
,,,③ハイブリッドワーク環境の全社展開,,,
,,,④モバイルアプリ開発（顧客向け、営業担当者向け）,,,
,,,⑤マーケティングオートメーション導入,,,
,,,⑥ゼロトラストセキュリティモデル導入,,,
""
5,2030年度,先進技術導入期,先進技術の積極導入、業界リーダーポジション確立,IoT導入、VR/AR活用、グローバル展開,小売業事例: 2年以内に投資回収（デロイト調査）,※貴社の実情に合わせてヒアリング後に精緻化
,,,①IoT/センサー活用による予防保全・リアルタイム監視,,,
,,,②VR/AR活用による現場視察・技術教育,,,
,,,③ブロックチェーン活用による品質トレーサビリティ強化,,,
,,,④5G活用による現場とのリアルタイム連携,,,
,,,⑤完全自動化ラインの構築（一部業務）,,,
,,,⑥グローバルDX展開（海外拠点へのノウハウ展開）,,,
""
参考データ出典
・中小企業白書2024（中小企業庁）
・JUAS「企業IT動向調査2024」
・デロイト「DX投資調査2024」
""
※本ロードマップの投資規模・KPI等の具体的数値は、本PoCでのヒアリング結果を踏まえ、貴社の実情に合わせて精緻化いたします。
